CAM,DBA,A_PORT,AIRNAME,BUILD,CUISINE_DESC,INS_DATE,ACTION_1,V_CODE,V_DESC,C_FLAG,SCR,GRD,GRD_DATE,REC_DATE,INS_TYPE
41246487,"KINGSTON PIZZA",ABE,"Lehigh Valley International Airport",259,Pizza,31/08/2015,"Violations were cited in the following area(s).",08A,"Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",11,,,28/08/2017,"Cycle Inspection / Initial Inspection"
50005509,"PULAU PINANG MALAYSIAN CUISINE",ABE,"Lehigh Valley International Airport",8284,Asian,13/05/2015,"Violations were cited in the following area(s).",04M,"Live roaches present in facility's food and/or non-food areas.",Critical,17,B,13/05/2015,28/08/2017,"Cycle Inspection / Re-inspection"
50042441,MCDONALD'S,ABE,"Lehigh Valley International Airport",2154,Hamburgers,24/10/2015,"Violations were cited in the following area(s).",04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,14,,,28/08/2017,"Pre-permit (Operational) / Initial Inspection"
41217162,"KINARAS INDIAN FOOD",ABE,"Lehigh Valley International Airport",368,Indian,3/06/2014,"Violations were cited in the following area(s).",04M,"Live roaches present in facility's food and/or non-food areas.",Critical,7,A,3/06/2014,28/08/2017,"Cycle Inspection / Initial Inspection"
50052962,"THE JOHN LAMB",ABE,"Lehigh Valley International Airport",119,American,11/10/2016,"Violations were cited in the following area(s).",10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",10,A,11/10/2016,28/08/2017,"Pre-permit (Operational) / Initial Inspection"
50012426,ALPHAVILLE,ABE,"Lehigh Valley International Airport",140,American,29/09/2016,"Violations were cited in the following area(s).",02B,"Hot food item not held at or above 140Âº F.",Critical,31,,,28/08/2017,"Cycle Inspection / Initial Inspection"
40513609,"SKYLIGHT DINER",ABE,"Lehigh Valley International Airport",402,American,12/05/2015,"Violations were cited in the following area(s).",04L,"Evidence of mice or live mice present in facility's food and/or non-food areas.",Critical,17,,,28/08/2017,"Cycle Inspection / Initial Inspection"
40366396,"DESMOND'S TAVERN",ABE,"Lehigh Valley International Airport",433,American,14/12/2015,"Violations were cited in the following area(s).",08A,"Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",18,,,28/08/2017,"Cycle Inspection / Initial Inspection"
50055396,MCDONALD'S,ABE,"Lehigh Valley International Airport",136,American,7/08/2017,"Violations were cited in the following area(s).",04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,12,A,7/08/2017,28/08/2017,"Cycle Inspection / Initial Inspection"
41645110,"SILVER PALACE",ABE,"Lehigh Valley International Airport",3438,Chinese,17/11/2015,"Violations were cited in the following area(s).",04L,"Evidence of mice or live mice present in facility's food and/or non-food areas.",Critical,11,A,17/11/2015,28/08/2017,"Cycle Inspection / Initial Inspection"
50043397,"BARCELONA BITES GASTRO CLUB",ABE,"Lehigh Valley International Airport",220,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",14/10/2016,"Violations were cited in the following area(s).",04L,"Evidence of mice or live mice present in facility's food and/or non-food areas.",Critical,19,B,14/10/2016,28/08/2017,"Pre-permit (Operational) / Re-inspection"
50032726,"KRAJA CAFE",ABE,"Lehigh Valley International Airport",837,Mediterranean,24/02/2015,"Violations were cited in the following area(s).",10B,"Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","Not Critical",6,,,28/08/2017,"Pre-permit (Non-operational) / Re-inspection"
41272136,"GOLDEN KRUST CARIBBEAN BAKERY & GRILL",ABE,"Lehigh Valley International Airport",872,Caribbean,25/04/2017,"Violations were cited in the following area(s).",08A,"Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",20,B,25/04/2017,28/08/2017,"Cycle Inspection / Re-inspection"
41393176,SUBWAY,ABE,"Lehigh Valley International Airport",41,American,29/08/2016,"Violations were cited in the following area(s).",08B,"Covered garbage receptacle not provided or inadequate, except that garbage receptacle may be uncovered during active use. Garbage storage area not properly constructed or maintained; grinder or compactor dirty.","Not Critical",2,A,29/08/2016,28/08/2017,"Cycle Inspection / Initial Inspection"
50019124,RAMEN-YA,ABE,"Lehigh Valley International Airport",133,Japanese,16/11/2015,"Violations were cited in the following area(s).",04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,21,B,16/11/2015,28/08/2017,"Cycle Inspection / Re-inspection"
50047979,MAMASUSHI,ABE,"Lehigh Valley International Airport",3569,Asian,27/07/2016,"Violations were cited in the following area(s).",04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,17,,,28/08/2017,"Pre-permit (Operational) / Initial Inspection"
40803550,"BAKER STREET PUB",ABE,"Lehigh Valley International Airport",1152,American,31/05/2017,"Violations were cited in the following area(s).",04K,"Evidence of rats or live rats present in facility's food and/or non-food areas.",Critical,14,,,28/08/2017,"Cycle Inspection / Initial Inspection"
41111464,"100 FUN",ABE,"Lehigh Valley International Airport",932934,Asian,1/07/2014,"Violations were cited in the following area(s).",08A,"Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",17,B,1/07/2014,28/08/2017,"Cycle Inspection / Re-inspection"
41696014,"NOISETTE CAFE",ABE,"Lehigh Valley International Airport",2421,Bakery,29/12/2015,"Violations were cited in the following area(s).",04A,"Food Protection Certificate not held by supervisor of food operations.",Critical,24,,,28/08/2017,"Cycle Inspection / Initial Inspection"
41651295,"GREY LADY/GOA TACO/PARATHA TACO",ABE,"Lehigh Valley International Airport",77,American,31/10/2014,"Violations were cited in the following area(s).",08A,"Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",20,,,28/08/2017,"Cycle Inspection / Initial Inspection"
41264019,POCO,ABE,"Lehigh Valley International Airport",33,Spanish,22/07/2014,"Violations were cited in the following area(s).",02G,"Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.",Critical,11,A,22/07/2014,28/08/2017,"Cycle Inspection / Re-inspection"
41223834,"CHIPOTLE MEXICAN GRILL",ABE,"Lehigh Valley International Airport",350,Mexican,28/09/2016,"Violations were cited in the following area(s).",10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",12,A,28/09/2016,28/08/2017,"Cycle Inspection / Re-inspection"
41426077,"GEORGIO'S PIZZERIA",ABE,"Lehigh Valley International Airport",20,Pizza,29/06/2015,"Violations were cited in the following area(s).",10B,"Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","Not Critical",13,A,29/06/2015,28/08/2017,"Cycle Inspection / Re-inspection"
41036469,"VILLAGGIO PIZZERIA RESTAURANT",ABE,"Lehigh Valley International Airport",7517,Pizza/Italian,16/04/2015,"Violations were cited in the following area(s).",06A,"Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.",Critical,29,,,28/08/2017,"Cycle Inspection / Initial Inspection"
50018261,"TRYON PUBLIC HOUSE",ABE,"Lehigh Valley International Airport",4740,American,7/08/2017,"Violations were cited in the following area(s).",08A,"Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",24,,,28/08/2017,"Cycle Inspection / Initial Inspection"
40676022,"TACOS MEXICO",ABE,"Lehigh Valley International Airport",4110,Mexican,10/09/2015,"Violations were cited in the following area(s).",08A,"Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",9,,,28/08/2017,"Cycle Inspection / Compliance Inspection"
50012185,"CASTILLO RESTAURNAT",ABE,"Lehigh Valley International Airport",709,Spanish,2/09/2015,"Violations were cited in the following area(s).",02B,"Hot food item not held at or above 140Âº F.",Critical,9,A,2/09/2015,28/08/2017,"Cycle Inspection / Initial Inspection"
50034061,"DI DI RESTAURANT",ABE,"Lehigh Valley International Airport",2318,Chinese,24/10/2015,"Violations were cited in the following area(s).",02B,"Hot food item not held at or above 140Âº F.",Critical,21,,,28/08/2017,"Cycle Inspection / Initial Inspection"
41621807,"WEI WEST/BEANS & GREENS",ABE,"Lehigh Valley International Airport",102,Asian,4/01/2016,"Violations were cited in the following area(s).",06F,"Wiping cloths soiled or not stored in sanitizing solution.",Critical,12,A,4/01/2016,28/08/2017,"Cycle Inspection / Re-inspection"
50002597,"FRANCESCO'S PIZZERIA & TRATTORIA",ABE,"Lehigh Valley International Airport",529,Pizza,29/10/2014,"Violations were cited in the following area(s).",04M,"Live roaches present in facility's food and/or non-food areas.",Critical,16,B,29/10/2014,28/08/2017,"Cycle Inspection / Re-inspection"
40727820,"HOUSING WORKS FOOD",ABE,"Lehigh Valley International Airport",126,American,19/04/2017,"Violations were cited in the following area(s).",04M,"Live roaches present in facility's food and/or non-food areas.",Critical,26,,,28/08/2017,"Cycle Inspection / Initial Inspection"
50042549,"VANESSA DUMPLINGS",ABE,"Lehigh Valley International Airport",118A,Chinese,10/11/2015,"Violations were cited in the following area(s).",04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,17,,,28/08/2017,"Pre-permit (Operational) / Initial Inspection"
50032642,DELICACY,ABE,"Lehigh Valley International Airport",12,Delicatessen,9/04/2015,"Violations were cited in the following area(s).",02B,"Hot food item not held at or above 140Âº F.",Critical,9,A,9/04/2015,28/08/2017,"Pre-permit (Operational) / Re-inspection"
50014974,"LUCKY EIGHT RESTAURANT",ABE,"Lehigh Valley International Airport",5204,Chinese,19/11/2014,"No violations were recorded at the time of this inspection.",,,"Not Applicable",,,,28/08/2017,"Administrative Miscellaneous / Initial Inspection"
41677452,"GYRO UNO",ABE,"Lehigh Valley International Airport",2801,Greek,28/02/2017,"Violations were cited in the following area(s).",06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,10,A,28/02/2017,28/08/2017,"Cycle Inspection / Initial Inspection"
50036241,"CAFE CON LECHE",ABE,"Lehigh Valley International Airport",2026,Spanish,30/08/2016,"Violations were cited in the following area(s).",10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",11,A,30/08/2016,28/08/2017,"Cycle Inspection / Initial Inspection"
50047071,"IL POSTINO",ABE,"Lehigh Valley International Airport",5376,Pizza/Italian,25/04/2016,"Violations were cited in the following area(s).",10B,"Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","Not Critical",51,,,28/08/2017,"Pre-permit (Operational) / Initial Inspection"
41166704,"MAESTRO CATERERS",ABE,"Lehigh Valley International Airport",1703,American,17/12/2014,"Violations were cited in the following area(s).",02B,"Hot food item not held at or above 140Âº F.",Critical,20,,,28/08/2017,"Cycle Inspection / Initial Inspection"
50061233,"ARTICHOKE BASILLE'S PIZZA",ABE,"Lehigh Valley International Airport",321,Pizza,11/07/2017,"Violations were cited in the following area(s).",06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,13,A,11/07/2017,28/08/2017,"Pre-permit (Operational) / Initial Inspection"
40809137,"9024/CATERING BY MICHAEL SCHICK INC.",ABE,"Lehigh Valley International Airport",9024,Jewish/Kosher,8/05/2015,"Violations were cited in the following area(s).",02G,"Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.",Critical,53,,,28/08/2017,"Cycle Inspection / Initial Inspection"
41645235,"LUKE KELLYS",ABE,"Lehigh Valley International Airport",4904,Irish,26/06/2017,"Violations were cited in the following area(s).",10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",19,,,28/08/2017,"Cycle Inspection / Initial Inspection"
50017148,"NIKE'S PIZZERIA",ABE,"Lehigh Valley International Airport",625,Pizza,3/01/2015,"Violations were cited in the following area(s).",06A,"Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.",Critical,35,C,3/01/2015,28/08/2017,"Pre-permit (Operational) / Re-inspection"
50040957,"PRINCE TEA HOUSE",ABE,"Lehigh Valley International Airport",6122,CafÃ©/Coffee/Tea,2/08/2016,"Violations were cited in the following area(s).",06B,"Tobacco use, eating, or drinking from open container in food preparation, food storage or dishwashing area observed.",Critical,12,A,2/08/2016,28/08/2017,"Cycle Inspection / Initial Inspection"
41706169,FELFLA,ABE,"Lehigh Valley International Airport",6906,"Middle Eastern",10/07/2015,"Violations were cited in the following area(s).",04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,7,A,10/07/2015,28/08/2017,"Cycle Inspection / Re-inspection"
50003778,"QUE RICO TACO",ABE,"Lehigh Valley International Airport",3307,Mexican,15/03/2014,"Violations were cited in the following area(s).",10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",18,B,15/03/2014,28/08/2017,"Cycle Inspection / Re-inspection"
50004350,KFC,ABE,"Lehigh Valley International Airport",15805,Chicken,20/02/2014,"Violations were cited in the following area(s).",02G,"Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.",Critical,9,A,20/02/2014,28/08/2017,"Pre-permit (Operational) / Re-inspection"
41393496,VAQUEROS,ABE,"Lehigh Valley International Airport",1541,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",14/01/2015,"Violations were cited in the following area(s).",06A,"Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.",Critical,33,,,28/08/2017,"Cycle Inspection / Initial Inspection"
41390799,"IRVING PLAZA",ABE,"Lehigh Valley International Airport",17,American,1/05/2015,"Violations were cited in the following area(s).",06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,7,A,1/05/2015,28/08/2017,"Cycle Inspection / Initial Inspection"
50016152,"OPEN KITCHEN",ABE,"Lehigh Valley International Airport",33,American,10/08/2016,"Violations were cited in the following area(s).",20F,"Current letter grade card not posted.","Not Critical",,,,28/08/2017,"Administrative Miscellaneous / Re-inspection"
41447792,"FRESH & CO",ABE,"Lehigh Valley International Airport",363,American,3/10/2016,"Violations were cited in the following area(s).",08A,"Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",39,,,28/08/2017,"Cycle Inspection / Initial Inspection"
41274441,"THE CREEK AND THE CAVE",ABE,"Lehigh Valley International Airport",1093,Mexican,30/03/2017,"Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.",08A,"Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",37,,,28/08/2017,"Cycle Inspection / Initial Inspection"
41164472,"RESTAURANTE ECUATORIANO GENESIS",ABE,"Lehigh Valley International Airport",538,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",20/04/2017,"Violations were cited in the following area(s).",02B,"Hot food item not held at or above 140Âº F.",Critical,30,,,28/08/2017,"Cycle Inspection / Initial Inspection"
40989220,"NHA TRANG RESTAURANT",ABE,"Lehigh Valley International Airport",87,Vietnamese/Cambodian/Malaysia,13/01/2016,"Violations were cited in the following area(s).",04L,"Evidence of mice or live mice present in facility's food and/or non-food areas.",Critical,12,A,13/01/2016,28/08/2017,"Cycle Inspection / Initial Inspection"
41605284,"WOK & ROLL",ABE,"Lehigh Valley International Airport",0,Chinese,18/06/2015,"Violations were cited in the following area(s).",02G,"Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.",Critical,19,,,28/08/2017,"Cycle Inspection / Initial Inspection"
41264387,"CUENCA COFFEE SHOP RESTAURANT",ABE,"Lehigh Valley International Airport",9529,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",10/02/2015,"Violations were cited in the following area(s).",06B,"Tobacco use, eating, or drinking from open container in food preparation, food storage or dishwashing area observed.",Critical,31,,,28/08/2017,"Cycle Inspection / Initial Inspection"
41708738,"THE MONTROSE",ABE,"Lehigh Valley International Airport",47,American,23/07/2015,"No violations were recorded at the time of this inspection.",,,"Not Applicable",,,,28/08/2017,"Trans Fat / Compliance Inspection"
41636080,"CHARLIES BAR & KITCHEN",ABE,"Lehigh Valley International Airport",112,American,3/08/2015,"Violations were cited in the following area(s).",06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,7,A,3/08/2015,28/08/2017,"Cycle Inspection / Initial Inspection"
41717184,PIACERE,ABE,"Lehigh Valley International Airport",351,Italian,17/11/2014,"Violations were cited in the following area(s).",04L,"Evidence of mice or live mice present in facility's food and/or non-food areas.",Critical,15,,,28/08/2017,"Cycle Inspection / Initial Inspection"
50001763,"TASTY DELICIOUS WEST INDIAN BAKERY & RESTAURANT",ABE,"Lehigh Valley International Airport",1397,Caribbean,3/12/2014,"Violations were cited in the following area(s).",04B,"Food worker prepares food or handles utensil when ill with a disease transmissible by food, or have exposed infected cut or burn on hand.",Critical,21,,,28/08/2017,"Cycle Inspection / Initial Inspection"
40576810,"JERK HUT",ABE,"Lehigh Valley International Airport",23107,Caribbean,13/04/2017,"Violations were cited in the following area(s).",06F,"Wiping cloths soiled or not stored in sanitizing solution.",Critical,13,A,13/04/2017,28/08/2017,"Cycle Inspection / Initial Inspection"
50006614,HUERTAS,ABE,"Lehigh Valley International Airport",107,Spanish,15/03/2016,"Violations were cited in the following area(s).",02B,"Hot food item not held at or above 140Âº F.",Critical,12,A,15/03/2016,28/08/2017,"Cycle Inspection / Re-inspection"
41149249,"SQUIRE DINER",ABE,"Lehigh Valley International Airport",80,American,27/10/2016,"Violations were cited in the following area(s).",06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,13,A,27/10/2016,28/08/2017,"Cycle Inspection / Re-inspection"
41630358,"FAY DA BAKERY",ABE,"Lehigh Valley International Airport",4024,Bakery,2/09/2015,"Violations were cited in the following area(s).",02B,"Hot food item not held at or above 140Âº F.",Critical,9,A,2/09/2015,28/08/2017,"Cycle Inspection / Re-inspection"
41387129,"B'KLYN'S PIZZA JOINT",ABE,"Lehigh Valley International Airport",1406,Pizza/Italian,4/03/2016,"Violations were cited in the following area(s).",06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,10,A,4/03/2016,28/08/2017,"Cycle Inspection / Re-inspection"
41702100,"THE THIRSTY KOALA",ABE,"Lehigh Valley International Airport",3512,Australian,27/04/2016,"Violations were cited in the following area(s).",04L,"Evidence of mice or live mice present in facility's food and/or non-food areas.",Critical,17,,,28/08/2017,"Cycle Inspection / Initial Inspection"
50063072,"THAI POT",ABE,"Lehigh Valley International Airport",10307,Thai,19/08/2017,"Violations were cited in the following area(s).",04C,"Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.",Critical,22,,,28/08/2017,"Pre-permit (Operational) / Compliance Inspection"
50057838,"ISLAND COCINA",ABE,"Lehigh Valley International Airport",3,Caribbean,20/12/2016,"Violations were cited in the following area(s).",05H,"No facilities available to wash, rinse and sanitize utensils and/or equipment.",Critical,33,,,28/08/2017,"Pre-permit (Non-operational) / Initial Inspection"
40664122,"PHILLIP MARIE",ABE,"Lehigh Valley International Airport",569,American,15/07/2014,"Violations were cited in the following area(s).",02B,"Hot food item not held at or above 140Âº F.",Critical,29,,,28/08/2017,"Cycle Inspection / Initial Inspection"
50003587,"THE GRILL",ABE,"Lehigh Valley International Airport",10712,Mediterranean,29/09/2014,"Violations were cited in the following area(s).",06A,"Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.",Critical,5,A,29/09/2014,28/08/2017,"Cycle Inspection / Re-inspection"
40781636,ESSEX,ABE,"Lehigh Valley International Airport",120,American,4/08/2015,"Violations were cited in the following area(s).",08A,"Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",12,A,4/08/2015,28/08/2017,"Cycle Inspection / Re-inspection"
50057140,"PINSTIPES SPORTS BAR & GRILL",ABE,"Lehigh Valley International Airport",1161,American,23/06/2017,"Violations were cited in the following area(s).",05D,"Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.",Critical,17,B,23/06/2017,28/08/2017,"Pre-permit (Operational) / Re-inspection"
50051372,"CARNEGIE CUP CAFE",ABE,"Lehigh Valley International Airport",1080,CafÃ©/Coffee/Tea,12/09/2016,"Violations were cited in the following area(s).",06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,25,,,28/08/2017,"Pre-permit (Operational) / Initial Inspection"
41467407,"CASA VIEJA RESTAURANT",ABE,"Lehigh Valley International Airport",6007,Mexican,27/03/2014,"Violations were cited in the following area(s).",10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",9,A,27/03/2014,28/08/2017,"Cycle Inspection / Re-inspection"
41136620,"EL SONADOR CAFE RESTAURANT",ABE,"Lehigh Valley International Airport",9314,Mexican,14/04/2016,"Violations were cited in the following area(s).",08A,"Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",40,,,28/08/2017,"Cycle Inspection / Initial Inspection"
40785103,"CAFE RUSTICO II",ABE,"Lehigh Valley International Airport",25,Pizza/Italian,1/10/2013,"Violations were cited in the following area(s).",06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,10,A,1/10/2013,28/08/2017,"Cycle Inspection / Re-inspection"
41576311,"PICCOLO CAFE",ABE,"Lehigh Valley International Airport",238,Italian,18/08/2017,"Violations were cited in the following area(s).",10B,"Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","Not Critical",13,A,18/08/2017,28/08/2017,"Cycle Inspection / Initial Inspection"
50033451,"INDUSTRY KITCHEN",ABE,"Lehigh Valley International Airport",70,Italian,12/05/2016,"Violations were cited in the following area(s).",06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,8,A,12/05/2016,28/08/2017,"Cycle Inspection / Initial Inspection"
41600704,"RED MIST",ABE,"Lehigh Valley International Airport",569,"Middle Eastern",29/05/2015,"Violations were cited in the following area(s).",08A,"Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",9,A,29/05/2015,28/08/2017,"Cycle Inspection / Re-inspection"
41007868,PAX,ABE,"Lehigh Valley International Airport",520,American,30/07/2015,"Violations were cited in the following area(s).",02G,"Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.",Critical,34,,,28/08/2017,"Cycle Inspection / Initial Inspection"
41620030,"BURGER CLUB",ABE,"Lehigh Valley International Airport",3202,American,8/05/2015,"Violations were cited in the following area(s).",04J,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",Critical,21,,,28/08/2017,"Cycle Inspection / Initial Inspection"
50010805,"CAFE AU LEE",ABE,"Lehigh Valley International Airport",193,Jewish/Kosher,9/06/2015,"Violations were cited in the following area(s).",10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",13,A,9/06/2015,28/08/2017,"Cycle Inspection / Re-inspection"
41461600,"FIVE GUYS FAMOUS BURGERS AND FRIES",ABE,"Lehigh Valley International Airport",21033,Hamburgers,8/09/2014,"Violations were cited in the following area(s).",04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,18,,,28/08/2017,"Cycle Inspection / Initial Inspection"
41664735,"EMILY BAR RESTAURANT",ABE,"Lehigh Valley International Airport",3564,Spanish,1/02/2014,"Violations were cited in the following area(s).",06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,7,A,1/02/2014,28/08/2017,"Cycle Inspection / Re-inspection"
50014322,"CHIPOTLE MEXICAN GRILL",ABE,"Lehigh Valley International Airport",463,Mexican,27/07/2016,"Violations were cited in the following area(s).",10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",8,A,27/07/2016,28/08/2017,"Cycle Inspection / Initial Inspection"
41589763,"BISTRO MARKETPLACE",ABE,"Lehigh Valley International Airport",125,Delicatessen,15/01/2014,"Violations were cited in the following area(s).",02B,"Hot food item not held at or above 140Âº F.",Critical,27,B,15/01/2014,28/08/2017,"Cycle Inspection / Re-inspection"
41650406,"GRILL 212",ABE,"Lehigh Valley International Airport",212,Jewish/Kosher,16/11/2015,"Violations were cited in the following area(s).",06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,7,,,28/08/2017,"Cycle Inspection / Initial Inspection"
40379566,"LONDON LENNIES",ABE,"Lehigh Valley International Airport",6388,Seafood,1/04/2015,"Violations were cited in the following area(s).",04L,"Evidence of mice or live mice present in facility's food and/or non-food areas.",Critical,27,,,28/08/2017,"Cycle Inspection / Initial Inspection"
40625816,"THE FITZ",ABE,"Lehigh Valley International Airport",687,American,1/08/2016,"Violations were cited in the following area(s).",06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,9,A,1/08/2016,28/08/2017,"Cycle Inspection / Initial Inspection"
50047001,"KENNEDY FRIED CHICKEN",ABE,"Lehigh Valley International Airport",1341,Chicken,18/07/2017,"Violations were cited in the following area(s).",10B,"Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","Not Critical",13,,,28/08/2017,"Cycle Inspection / Initial Inspection"
